policy_id,customer_id,policy_type,insurance_company,branch,start_date,end_date,policy_duration_years,premium_amount,coverage_amount,vehicle_brand,vehicle_model,vehicle_year,vehicle_value,claim_history,status,payment_type,created_date
8b86c402-6c09-4ad1-80eb-0b2a00fcd373,1508bb46-df08-4bea-9034-7cb15e08596a,Third Party,SecureDrive Insurance,Hyderabad Hitech,2023-08-05,2024-08-04,1,1100,50000,Maruti Suzuki,Swift,2023,450000,2,Active,Upfront,2023-08-05
53ebbf13-02c1-4d0d-a1fb-84104d2fca17,bdedc250-68a6-4625-b784-494308a2a569,Comprehensive,SecureDrive Insurance,Ahmedabad Corporate,2022-12-15,2023-12-15,1,10200,150000,Hyundai,i20,2015,140000,2,Active,Upfront,2022-12-15
32bc1f5a-f795-4fc2-af16-d5bd2f586e14,41e81931-3a33-4441-b4da-240de7b3507e,Comprehensive,SecureDrive Insurance,Ahmedabad Corporate,2025-02-05,2026-02-05,1,9400,150000,Tata Motors,Altroz,2016,160000,3,Cancelled,Upfront,2025-02-05
2b403e62-366f-47a0-b5fc-38e674c3c257,e3147e4d-e190-455b-b4ca-14dd632c4c8a,Comprehensive,SecureDrive Insurance,Delhi NCR,2022-12-14,2023-12-14,1,43500,620000,Kia,Seltos,2021,580000,3,Active,Upfront,2022-12-14
d719ab11-0f52-4d0e-b3ef-eff9c8945cc1,efe5d2cb-1220-4a7d-9433-67403d32d78d,Comprehensive,SecureDrive Insurance,Kolkata Central,2025-03-11,2026-03-11,1,11900,300000,Tata Motors,Punch,2021,310000,0,Cancelled,Upfront,2025-03-11
8c1a2200-5e50-405c-bbb8-3c6447529309,a92888e5-f083-4665-9458-76e6f98b1013,Comprehensive,SecureDrive Insurance,Lucknow City Center,2023-09-30,2024-09-29,1,15300,320000,Maruti Suzuki,Swift,2021,310000,2,Active,Upfront,2023-09-30
13774564-0669-472e-b016-b5498b6f2531,46468fe4-3cb2-46fe-b089-c25250c63912,Third Party,SecureDrive Insurance,Jaipur Business Park,2023-03-18,2024-03-17,1,6300,190000,Skoda,Kodiaq,2018,1140000,2,Expired,Upfront,2023-03-18
6a0c7f96-c362-4fb9-ba4a-d1571ab0ae3d,55d5e347-72ae-4367-b9b8-96e34b0793f7,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2022-09-26,2025-09-25,3,34100,660000,Maruti Suzuki,Ertiga,2023,660000,2,Active,Upfront,2022-09-26
b044014d-64a7-4218-92dc-97b991b7a123,2e1bd743-0c21-49fc-91d4-300ab1f3351c,Third Party,SecureDrive Insurance,Hyderabad Hitech,2023-08-20,2024-08-19,1,3000,110000,Toyota,Urban Cruiser,2022,570000,3,Expired,Upfront,2023-08-20
100272ec-2aa7-45ad-bb37-40daa731abc3,2485a507-a434-4cdc-977e-2ff821e49d80,Zero Depreciation,SecureDrive Insurance,Pune IT Park,2024-12-26,2025-12-26,1,33200,480000,Maruti Suzuki,Ertiga,2020,410000,3,Active,Upfront,2024-12-26
1c50bf08-a10b-46d3-95ea-e08f63c20bc3,28c745fb-d5c6-47fb-9ea7-e9783814a2c0,Third Party,SecureDrive Insurance,Jaipur Business Park,2023-08-17,2024-08-16,1,500,20000,Tata Motors,Punch,2015,120000,0,Active,Upfront,2023-08-17
89792b03-4506-4cf8-9d05-aa9c381f9d51,83332e28-868a-4c20-9a22-c10ce88faa78,Comprehensive,SecureDrive Insurance,Pune IT Park,2024-05-17,2027-05-17,3,10900,290000,Maruti Suzuki,WagonR,2022,320000,0,Expired,Upfront,2024-05-17
553fca88-b302-41dc-a41f-156d6c0876dd,2a54d263-06a7-44cc-83b0-8a5855fd57d5,Comprehensive,SecureDrive Insurance,Delhi NCR,2024-05-15,2025-05-15,1,20900,320000,Maruti Suzuki,Baleno,2020,310000,3,Active,Upfront,2024-05-15
9a9a41c2-0eaa-4aa7-a173-4f9372bf8bf2,cc67076d-4c91-4e12-bdc9-6238fc12d339,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2023-06-03,2024-06-02,1,19100,370000,Maruti Suzuki,Baleno,2021,350000,3,Cancelled,Upfront,2023-06-03
7a71f193-f8e7-4e30-9d5e-006b801f635c,f41fe050-44cc-477d-af2e-78090deba60a,Third Party,SecureDrive Insurance,Jaipur Business Park,2024-10-11,2025-10-11,1,1000,40000,Hyundai,Alcazar,2016,280000,0,Active,Upfront,2024-10-11
a3a48e55-a0a0-4c44-84c6-b40a8cd962ee,63a42760-0bd2-4ebf-a047-ccd4930787de,Third Party,SecureDrive Insurance,Mumbai Central,2025-01-10,2026-01-10,1,2800,90000,Mahindra,XUV700,2018,460000,2,Expired,Upfront,2025-01-10
a8efc92e-a780-48c8-94fd-99fd617c6646,ef153b05-cac8-4ce8-a482-7d25b1b63031,Comprehensive,SecureDrive Insurance,Ahmedabad Corporate,2024-10-12,2025-10-12,1,12900,230000,Hyundai,Venue,2017,210000,2,Expired,Upfront,2024-10-12
d2e5a9ba-75db-4773-b72f-1b7b7828c786,e4ef91c5-9f25-432d-a4f5-a9892295040c,Comprehensive,SecureDrive Insurance,Hyderabad Hitech,2025-04-07,2028-04-06,3,57500,1180000,Mahindra,Scorpio,2024,1160000,2,Expired,Upfront,2025-04-07
20f050d7-9852-4968-acf5-290f541d8121,84444c06-afa6-47e9-aa5e-6d3fad56abd2,Third Party,SecureDrive Insurance,Chennai Marina,2023-09-07,2024-09-06,1,1000,50000,Tata Motors,Punch,2020,260000,1,Cancelled,Upfront,2023-09-07
5acab77f-be00-4172-9925-631c3587c17e,446878c6-5318-458e-abc4-40e13f4d90c8,Comprehensive,SecureDrive Insurance,Mumbai Central,2025-01-19,2026-01-19,1,16600,350000,Hyundai,Alcazar,2017,330000,0,Cancelled,Upfront,2025-01-19
4892adcd-2d46-4729-8073-1d37e4eb97c0,5c769f11-5189-41bc-ac91-1526bc18597b,Comprehensive,SecureDrive Insurance,Kolkata Central,2025-01-30,2026-01-30,1,5500,120000,Maruti Suzuki,Swift,2015,120000,0,Cancelled,Upfront,2025-01-30
0eff8985-6302-4ef1-b558-e205de38b0eb,f6c7f2a9-3940-4d56-bb2d-670951209544,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2023-09-15,2026-09-14,3,40900,950000,Tata Motors,Harrier,2022,880000,0,Cancelled,Upfront,2023-09-15
aaa45e9b-ed98-456a-ab6f-2e6e54f5a756,2fee96dc-46f9-4c00-9d2c-704b6df13ca5,Third Party,SecureDrive Insurance,Bangalore Tech Park,2024-09-17,2025-09-17,1,700,30000,Maruti Suzuki,Ertiga,2016,220000,0,Expired,Upfront,2024-09-17
a2a4015d-7b4e-42bc-8138-37dd59e69f50,2419880f-3a7a-4e3d-a23f-5722bd136318,Third Party,SecureDrive Insurance,Pune IT Park,2025-02-19,2026-02-19,1,700,20000,Kia,Carens,2015,190000,3,Expired,Upfront,2025-02-19
a95512d8-5a39-4a87-82c4-7325d0f55436,168eaf59-a7e4-4f70-810b-96045d9732ab,Third Party,SecureDrive Insurance,Bangalore Tech Park,2024-04-08,2029-04-07,5,2800,90000,Hyundai,Verna,2024,760000,3,Cancelled,Upfront,2024-04-08
1047fc31-ccd8-4351-a3c4-b1d5c3d70e66,4acfc621-2080-4a64-861c-bb0970bb34bd,Comprehensive,SecureDrive Insurance,Chennai Marina,2022-12-20,2023-12-20,1,14100,200000,Hyundai,Creta,2015,220000,3,Active,Upfront,2022-12-20
04319ca7-04f5-49c9-bd57-6bcf44454832,3401d49f-54e7-4397-9735-fb96eafeee37,Comprehensive,SecureDrive Insurance,Chennai Marina,2022-06-13,2025-06-12,3,12900,350000,Maruti Suzuki,Alto,2024,350000,1,Expired,Upfront,2022-06-13
e0b6f6ce-f6bf-407d-b12a-80ea499b2c2d,de96ea88-6384-48f6-8164-30ba8413301d,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2022-12-25,2023-12-25,1,32900,570000,Volkswagen,Virtus,2021,570000,3,Active,Upfront,2022-12-25
d72bb6a4-3ebd-4488-9e50-5450be846b54,fc65f229-fb57-41f9-b8c9-5aa0fba1d0f7,Zero Depreciation,SecureDrive Insurance,Pune IT Park,2023-10-24,2024-10-23,1,18600,300000,Tata Motors,Punch,2020,270000,2,Active,Upfront,2023-10-24
d2e7d579-5240-4c83-9246-d1caacc95fc7,e2b1b6db-6eaf-42c1-a482-bfdbd19d6982,Comprehensive,SecureDrive Insurance,Ahmedabad Corporate,2024-05-01,2025-05-01,1,30300,460000,Skoda,Karoq,2016,440000,3,Expired,Upfront,2024-05-01
d51bc62b-ea8e-4ea8-90ca-cf6ad6096618,4954b2db-e3ba-485c-bd5e-a649f85d3340,Comprehensive,SecureDrive Insurance,Pune IT Park,2023-10-11,2024-10-10,1,29300,710000,Tata Motors,Safari,2020,680000,0,Expired,Upfront,2023-10-11
2e2cc0f5-63be-475b-846f-d9c2806f938a,d558089e-df53-431f-99f3-1ccbf3174a10,Comprehensive,SecureDrive Insurance,Mumbai Central,2024-08-27,2025-08-27,1,10800,240000,Maruti Suzuki,Baleno,2019,250000,1,Active,Upfront,2024-08-27
ba2828e7-896f-4265-bfd3-7b34fe2a396b,babf1e54-dc78-449e-9ed3-55a85fe7a12b,Comprehensive,SecureDrive Insurance,Hyderabad Hitech,2025-05-15,2028-05-14,3,19800,390000,Tata Motors,Punch,2022,360000,2,Expired,Upfront,2025-05-15
b255412c-a5c5-479e-9c08-e1f33b04f58e,e432b4cc-355a-4a71-a0b1-a5c2c5632bde,Comprehensive,SecureDrive Insurance,Delhi NCR,2022-06-13,2023-06-13,1,38800,890000,Toyota,Innova,2021,940000,1,Cancelled,Upfront,2022-06-13
ebded037-839c-4d67-992f-f63b2efdedcd,4ec3fa19-4c7d-4cde-a8e4-73b6d302d851,Comprehensive,SecureDrive Insurance,Delhi NCR,2024-10-06,2027-10-06,3,11800,320000,Maruti Suzuki,WagonR,2022,300000,0,Cancelled,Upfront,2024-10-06
57c73e12-7fe4-495b-bf4b-8e71d34d0166,51320000-87f5-4302-9fda-056132651c57,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2024-02-24,2027-02-23,3,22800,430000,Maruti Suzuki,Baleno,2022,440000,3,Active,Upfront,2024-02-24
2b559ca3-5217-45b1-b0f1-425e946c883b,bfd11f5d-396e-40ce-bc24-646eacc37c21,Zero Depreciation,SecureDrive Insurance,Mumbai Central,2024-05-13,2025-05-13,1,36000,590000,Kia,Sonet,2023,530000,1,Active,Upfront,2024-05-13
3ccc779e-cb57-4ad2-9c8b-b5cff467f735,f40bcf0d-08a8-4803-8d91-bb4872a1c3ce,Comprehensive,SecureDrive Insurance,Pune IT Park,2024-06-18,2027-06-18,3,22700,390000,Maruti Suzuki,WagonR,2023,370000,3,Expired,Upfront,2024-06-18
57db87d6-6391-442f-ab4e-66136c8636d5,88a90d52-f823-413b-9fda-62f0c3ec8ea3,Third Party,SecureDrive Insurance,Mumbai Central,2025-03-19,2026-03-19,1,900,30000,Tata Motors,Nexon,2016,180000,1,Active,Upfront,2025-03-19
fe0f84a4-0994-4aab-8fec-e0cbcffe052f,855912c1-9703-4e7e-b9df-b967ad846447,Comprehensive,SecureDrive Insurance,Mumbai Central,2022-09-25,2023-09-25,1,14700,280000,Tata Motors,Altroz,2019,260000,2,Expired,Upfront,2022-09-25
e6a4d8c3-b589-43ce-8cc8-98385766edd3,4c4a997e-c7a8-401d-bd80-17c7a616ceea,Comprehensive,SecureDrive Insurance,Mumbai Central,2023-04-18,2024-04-17,1,4000,90000,Maruti Suzuki,Alto,2015,80000,0,Expired,Upfront,2023-04-18
894f1e41-dbf5-489a-99c9-e59712a6c91c,4d64dda1-eb05-46f9-8afe-cc0ed7d63585,Comprehensive,SecureDrive Insurance,Lucknow City Center,2024-07-24,2025-07-24,1,77700,1550000,Skoda,Superb,2020,1580000,2,Expired,Upfront,2024-07-24
a5acc083-f314-4a07-b1a1-4e2b1757e444,fa84f266-6569-4056-972f-ffb0afd9f8fa,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2023-01-08,2026-01-07,3,17500,460000,Maruti Suzuki,Swift,2024,500000,1,Cancelled,Upfront,2023-01-08
ba7a7f51-3d00-46c4-9e93-f84ed096219b,cc67076d-4c91-4e12-bdc9-6238fc12d339,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2025-05-13,2026-05-13,1,13700,320000,Tata Motors,Punch,2021,310000,1,Active,Upfront,2025-05-13
34c0b29a-e40f-44fb-aa13-0cc40177c869,bfdfa78a-81a8-4721-a479-c3d5bbaf0a02,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2022-08-24,2023-08-24,1,28000,640000,Honda,City,2021,600000,1,Active,Upfront,2022-08-24
f71f7e22-6540-4b3a-91b9-f37a5e46dea9,d214f533-c3f0-4459-b82e-dc2c1ec1d23c,Third Party,SecureDrive Insurance,Ahmedabad Corporate,2024-02-08,2025-02-07,1,1100,50000,Hyundai,Creta,2016,250000,0,Cancelled,Upfront,2024-02-08
fcb7f46b-b8e1-47b6-ba30-4b4443d407df,fe5c47bf-3882-4546-b1ce-6e8aada12264,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2024-09-22,2025-09-22,1,15700,320000,Kia,Seltos,2018,340000,0,Active,Upfront,2024-09-22
2e72d4bb-c76c-4522-b831-3e88b7ac9bc5,1401c9dc-c9d6-4507-9812-0d1b93cf3540,Zero Depreciation,SecureDrive Insurance,Ahmedabad Corporate,2023-02-09,2024-02-09,1,18500,240000,Honda,WR-V,2017,240000,1,Cancelled,Upfront,2023-02-09
aabed9c6-37ee-44c1-b3af-f7dd86b07aa0,7243b459-36ad-4ea0-b769-8f6e5827f34e,Third Party,SecureDrive Insurance,Ahmedabad Corporate,2024-07-06,2025-07-06,1,1400,50000,Honda,Elevate,2020,490000,2,Cancelled,Upfront,2024-07-06
9560bd9e-e7b1-4fbf-873c-7a4081e27751,4954b2db-e3ba-485c-bd5e-a649f85d3340,Comprehensive,SecureDrive Insurance,Pune IT Park,2023-05-09,2024-05-08,1,22000,460000,Maruti Suzuki,Ertiga,2021,480000,2,Cancelled,Upfront,2023-05-09
4d970196-11c6-4992-bee3-264caad8d7e0,b2a0746f-34f8-49cf-b5be-d1a538154081,Comprehensive,SecureDrive Insurance,Delhi NCR,2024-12-08,2025-12-08,1,39200,780000,Toyota,Innova,2020,820000,3,Expired,Upfront,2024-12-08
ea305c79-b183-41b1-b499-9d860aeaebbd,bfb09d1a-14c7-422b-bc85-03724c1af132,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2022-12-30,2023-12-30,1,11000,210000,Hyundai,i20,2018,230000,2,Active,Upfront,2022-12-30
5b8b93ff-6e52-4183-a59b-f99cb3e86104,41f913a7-92d3-4673-b854-6871b49816fb,Zero Depreciation,SecureDrive Insurance,Mumbai Central,2023-08-13,2024-08-12,1,24500,400000,Mahindra,XUV700,2017,380000,0,Cancelled,Upfront,2023-08-13
97aaeafc-f614-447c-bdbd-cecbeb060a6e,d7112aa6-6823-4c2b-bac1-0d24407b6a5e,Comprehensive,SecureDrive Insurance,Kolkata Central,2025-04-05,2026-04-05,1,17400,270000,Hyundai,Creta,2016,270000,3,Expired,Upfront,2025-04-05
d015fb81-1857-4cd8-ac58-09d9e955cde4,eb8fdaed-b10d-43fe-b518-ffd926f7a9c8,Comprehensive,SecureDrive Insurance,Lucknow City Center,2025-02-22,2026-02-22,1,6900,120000,Maruti Suzuki,Alto,2018,130000,0,Cancelled,Upfront,2025-02-22
c4920402-f8ea-495b-996c-4f8863113793,07b34048-ea55-4f4e-b392-c90bdc973fa1,Comprehensive,SecureDrive Insurance,Hyderabad Hitech,2024-04-20,2025-04-20,1,11900,190000,Tata Motors,Altroz,2017,190000,2,Active,Upfront,2024-04-20
e1b202a3-b0f0-4098-9d3d-02ab792e7e7b,8b0ce5e2-c196-452a-bc19-e44c80e78f73,Third Party,SecureDrive Insurance,Chennai Marina,2024-10-05,2025-10-05,1,800,30000,Maruti Suzuki,Alto,2022,250000,1,Active,Upfront,2024-10-05
5615dcea-675f-43bd-a5b4-747d884937d6,73a7bdcf-97ef-497d-a161-e28667fb2aab,Comprehensive,SecureDrive Insurance,Ahmedabad Corporate,2023-09-22,2026-09-21,3,34700,980000,Kia,Seltos,2024,920000,0,Active,Upfront,2023-09-22
5bc98811-76df-421c-8ede-0784d466777f,ed592ddf-f7ed-4ce3-abc6-b590a4cd31a3,Zero Depreciation,SecureDrive Insurance,Delhi NCR,2023-03-31,2024-03-30,1,19100,380000,Maruti Suzuki,Swift,2022,360000,1,Active,Upfront,2023-03-31
25ac9842-8286-42d8-b0f6-ebf3003d0cbf,d8eb6eba-2677-4e8e-abcb-bd8b3193db4b,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2024-03-27,2025-03-27,1,20100,470000,Honda,City,2020,500000,1,Expired,Upfront,2024-03-27
7e4ea9ce-3950-4eb6-8e0c-81ddd3441907,45bf1fdb-ba02-43c8-aa57-f53a11169d33,Comprehensive,SecureDrive Insurance,Pune IT Park,2024-11-06,2027-11-06,3,47700,1060000,Hyundai,Alcazar,2024,1070000,2,Cancelled,Upfront,2024-11-06
4474d9dc-05fa-4069-a56b-f64e0e7dcb9f,a42bd711-aed8-4c5d-8b0a-45b145882fdb,Third Party,SecureDrive Insurance,Lucknow City Center,2022-07-11,2023-07-11,1,1300,50000,Tata Motors,Harrier,2015,300000,2,Expired,Upfront,2022-07-11
ce05b9ef-01be-43c6-8e1b-8156f9b8f638,f63eb6c2-6597-49ba-8754-c659696bcbb8,Third Party,SecureDrive Insurance,Jaipur Business Park,2025-02-28,2026-02-28,1,1500,60000,Tata Motors,Altroz,2021,360000,1,Expired,Upfront,2025-02-28
03a2018a-e9fd-491f-a731-509cfc5be781,4c4df2cd-be84-4717-8eef-b48248524b4d,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2023-04-16,2024-04-15,1,16700,340000,Hyundai,Creta,2018,340000,0,Expired,Upfront,2023-04-16
09295423-fe98-4a04-9942-fd98ec33fb87,6d490e83-3115-4a23-99a7-9af38ef75a71,Comprehensive,SecureDrive Insurance,Hyderabad Hitech,2023-10-31,2024-10-30,1,8800,160000,Maruti Suzuki,Swift,2017,160000,2,Cancelled,Upfront,2023-10-31
e469bb0f-24ef-4bed-86df-32648d9171c5,77da5eba-36f9-43fe-a710-fca6fc7b7fdd,Comprehensive,SecureDrive Insurance,Lucknow City Center,2025-02-12,2026-02-12,1,11700,190000,Kia,Sonet,2017,190000,3,Active,Upfront,2025-02-12
80f12323-1f20-4c2a-9b00-acb89860b726,f7e1c6b0-d09d-49bc-a8fc-27bbbbff463f,Third Party,SecureDrive Insurance,Delhi NCR,2024-12-23,2025-12-23,1,3900,160000,Mahindra,Scorpio,2022,830000,1,Cancelled,Upfront,2024-12-23
0d57dcdb-356c-480a-a046-f554d4df5a7c,5270f8d1-466c-4ea3-b6cf-dca23ab28ea1,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2024-05-08,2025-05-08,1,15800,340000,Maruti Suzuki,Ertiga,2019,350000,2,Active,Upfront,2024-05-08
fd58df20-b47e-479d-92ef-678a14f7a554,da2e00ce-9718-4599-a66f-44d82fc186bc,Third Party,SecureDrive Insurance,Lucknow City Center,2022-10-26,2023-10-26,1,2900,130000,Mahindra,XUV700,2021,710000,1,Cancelled,Upfront,2022-10-26
ded4d3e7-0586-45be-b235-7c58f07f6b15,6c4c09a7-3e7c-466e-9cf0-31338742c079,Comprehensive,SecureDrive Insurance,Pune IT Park,2023-07-16,2024-07-15,1,7100,130000,Maruti Suzuki,WagonR,2016,120000,3,Cancelled,Upfront,2023-07-16
203f3f4b-cb5b-4b4c-af98-60fde194a015,61375047-f144-4576-86f1-4507b8a44a4f,Third Party,SecureDrive Insurance,Kolkata Central,2024-02-29,2025-02-28,1,1800,60000,Toyota,Camry,2017,560000,3,Active,Upfront,2024-02-29
6bb6df0e-99ef-4340-a92e-a51b4e840f36,b7c28d87-c61c-4b96-93ac-7dbeab95e0b0,Comprehensive,SecureDrive Insurance,Ahmedabad Corporate,2025-05-12,2026-05-12,1,35200,820000,Mahindra,XUV700,2021,750000,1,Expired,Upfront,2025-05-12
4e09b9ac-11e7-41c6-8711-226e5ce32563,45d75a0e-0999-4858-8b2b-02d3d8205e32,Comprehensive,SecureDrive Insurance,Kolkata Central,2024-02-18,2027-02-17,3,26100,510000,Hyundai,i20,2023,490000,3,Active,Upfront,2024-02-18
c5996ed1-300a-4105-9116-f989d926f058,c8b35221-6f9b-4bfa-b5bd-cf969f460405,Zero Depreciation,SecureDrive Insurance,Jaipur Business Park,2022-06-22,2023-06-22,1,12300,180000,Hyundai,i20,2016,160000,0,Active,Upfront,2022-06-22
df8f7555-ec6e-4468-9ea3-c777db7a2bba,887b6beb-b096-4a85-9109-d9536a32412b,Third Party,SecureDrive Insurance,Lucknow City Center,2025-05-29,2026-05-29,1,2300,100000,Kia,Carens,2022,590000,2,Expired,Upfront,2025-05-29
99733095-4636-4ce1-ab79-6a61bba24829,3f1133aa-0703-4dd8-8c5d-b9d480ea3e37,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2022-11-06,2023-11-06,1,19400,370000,Mahindra,Bolero,2021,400000,2,Expired,Upfront,2022-11-06
b3de5410-823f-4df0-9d2f-51420c5d999b,acd5a5e5-a3f5-4f5f-9d7c-73eb21114323,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2025-05-29,2026-05-29,1,5800,100000,Maruti Suzuki,WagonR,2015,100000,2,Expired,Upfront,2025-05-29
502a3f37-828b-4e8a-b036-793e8dfa24cb,3a3d16f3-1bb6-49a8-b9f2-aa7099a72059,Comprehensive,SecureDrive Insurance,Delhi NCR,2024-10-30,2025-10-30,1,16600,310000,Maruti Suzuki,Baleno,2020,320000,2,Active,Upfront,2024-10-30
cc12d40e-7362-442b-b97d-0b9f4a605804,ead50fde-e7c1-4c84-a649-74b85aa6f767,Third Party,SecureDrive Insurance,Jaipur Business Park,2023-10-18,2024-10-17,1,1200,30000,Maruti Suzuki,Baleno,2018,220000,3,Active,Upfront,2023-10-18
87e4d6ac-f88a-4f05-9c38-ed3961cafdbb,cbe940e4-f045-49a7-ad2e-9689839559d1,Zero Depreciation,SecureDrive Insurance,Jaipur Business Park,2023-04-28,2024-04-27,1,30000,530000,Hyundai,Creta,2020,480000,0,Active,Upfront,2023-04-28
1beeaf2b-a239-4851-86bc-8af80109f68f,de96ea88-6384-48f6-8164-30ba8413301d,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2024-07-19,2025-07-19,1,7900,130000,Maruti Suzuki,Swift,2016,140000,2,Active,Upfront,2024-07-19
2212819a-7507-4c2e-9e82-09750ccd2a11,4a48271e-7c0e-4178-ae76-4dc4eff541be,Third Party,SecureDrive Insurance,Delhi NCR,2023-02-15,2024-02-15,1,1500,60000,Mahindra,Scorpio,2016,290000,1,Expired,Upfront,2023-02-15
7fe1b8a7-392d-4cad-9e6d-393fc5432530,e00e287f-7dae-442a-85f8-181ee507eb51,Comprehensive,SecureDrive Insurance,Jaipur Business Park,2022-06-28,2025-06-27,3,15500,360000,Maruti Suzuki,WagonR,2023,370000,2,Active,Upfront,2022-06-28
0c14f54a-e798-4a51-8381-c355ac68a9a7,947aa0f7-d5c3-4a5d-acde-9e0356832ab0,Zero Depreciation,SecureDrive Insurance,Pune IT Park,2023-02-09,2024-02-09,1,13200,180000,Maruti Suzuki,Alto,2020,170000,3,Active,Upfront,2023-02-09
d996921f-c1f6-42aa-8dd9-1b498954c7fe,2419880f-3a7a-4e3d-a23f-5722bd136318,Comprehensive,SecureDrive Insurance,Pune IT Park,2024-01-20,2025-01-19,1,16800,280000,Hyundai,Verna,2018,290000,3,Active,Upfront,2024-01-20
